name,adm1__id
"Alberta","1"
"British Columbia","2"
"Manitoba","3"
"New Brunswick","4"
"Newfoundland and Labrador","5"
"Northwest Territories","6"
"Nova Scotia","7"
"Nunavut","8"
"Ontario","9"
"Prince Edward Island","10"
"Québec","11"
"Saskatchewan","12"
"Yukon","13"
